, YR   MON  TOTAL ClimAdjust ANOM 
396,1983   1   28.88   26.57    2.32
397,1983   2   28.69   26.75    1.94
398,1983   3   28.67   27.17    1.49
399,1983   4   28.77   27.59    1.19
400,1983   5   28.84   27.66    1.18
401,1983   6   28.28   27.46    0.82
402,1983   7   27.19   27.02    0.17
403,1983   8   26.60   26.64   -0.04
404,1983   9   26.20   26.56   -0.36
405,1983  10   25.57   26.53   -0.96
406,1983  11   25.42   26.52   -1.10
407,1983  12   25.58   26.51   -0.94
408,1984   1   25.88   26.57   -0.69
409,1984   2   26.57   26.75   -0.18
410,1984   3   26.78   27.17   -0.39
411,1984   4   27.15   27.59   -0.44
412,1984   5   27.20   27.66   -0.46
413,1984   6   26.83   27.46   -0.63
414,1984   7   26.78   27.02   -0.24
415,1984   8   26.60   26.64   -0.04
416,1984   9   26.38   26.56   -0.19
417,1984  10   26.04   26.53   -0.49
418,1984  11   25.52   26.52   -1.00
419,1984  12   25.26   26.51   -1.25
420,1985   1   25.39   26.57   -1.17
421,1985   2   26.04   26.75   -0.71
422,1985   3   26.50   27.17   -0.67
423,1985   4   26.65   27.59   -0.93
424,1985   5   26.91   27.66   -0.75
425,1985   6   26.81   27.46   -0.65
426,1985   7   26.55   27.02   -0.47
427,1985   8   26.29   26.64   -0.35
428,1985   9   26.02   26.56   -0.55
429,1985  10   26.23   26.53   -0.30
430,1985  11   26.33   26.52   -0.20
431,1985  12   26.19   26.51   -0.32
432,1986   1   25.89   26.46   -0.56
433,1986   2   26.06   26.66   -0.60
434,1986   3   26.88   27.14   -0.26
435,1986   4   27.49   27.58   -0.08
436,1986   5   27.41   27.68   -0.27
437,1986   6   27.42   27.43   -0.01
438,1986   7   27.18   27.01    0.17
439,1986   8   27.17   26.66    0.51
440,1986   9   27.24   26.59    0.65
441,1986  10   27.51   26.54    0.98
442,1986  11   27.70   26.50    1.20
443,1986  12   27.71   26.47    1.24
444,1987   1   27.68   26.46    1.22
445,1987   2   27.89   26.66    1.23
446,1987   3   28.27   27.14    1.13
447,1987   4   28.40   27.58    0.82
448,1987   5   28.56   27.68    0.88
449,1987   6   28.64   27.43    1.21
450,1987   7   28.58   27.01    1.57
451,1987   8   28.41   26.66    1.76
452,1987   9   28.36   26.59    1.77
453,1987  10   27.95   26.54    1.42
454,1987  11   27.77   26.50    1.27
455,1987  12   27.54   26.47    1.07
456,1988   1   27.45   26.46    0.99
457,1988   2   27.04   26.66    0.37
458,1988   3   27.39   27.14    0.25
459,1988   4   27.38   27.58   -0.19
460,1988   5   26.68   27.68   -1.00
